id,date,user,text,lang,likes,retweets
1014951922099450000;RT @zdizoro: Per Propaganda Doc, questa sera, alle 23.15, su La7, il viaggio fatto a dicembre nei luoghi del terremoto del 2016. Mangiar grÛ_;not provided;Provincia di Milano, Lombardia, Italia;1530818370047;Earthquake;no
1019821770277290000;åÀterremoto?, åÁterremoto!, åÀterremoto?, åÁterremoto!, åÀterremoto?, åÁterremoto!...;not provided;BogotÌÁ, Colombia;1531979432295;Earthquake;no
1019822582290400000;åÀterremoto?, åÁterremoto!, åÀterremoto?, åÁterremoto!, åÀterremoto?, åÁterremoto!...;not provided;BogotÌÁ, Colombia;1531979625877;Earthquake;no
1020175416756190000;RT @agensir: Notizie #Sir del giorno: Cei su #migranti, #Nicaragua, #Borsellino, dl #Terremoto, #azzardo, incontro mondiale #famiglie, #MosÛ_;not provided;unknown;1532063748248;Earthquake;no
1023466454375690000;Sisma Indonesia, Foa a rischio in vigilanza Rai, incendi California, No TAV, Camusso contro dl dignitÌÊ, bimbi migraÛ_ https://t.co/OwTdAKtrZ5;not provided;Roma, Lacio;1532848392689;Earthquake;no
1023474606512980000;RT @zazoomnews: Indonesia sisma di magnitudo 6.4 LÛªepicentro a Lombok: vittime e feriti -  #Indonesia #sisma #magnitudo  https://t.co/QU3pzÛ_;not provided;Potenza, Basilicata, Italia, Europa, Terra, Sistema Solare, Ammasso Locale.;1532850336266;Earthquake;no
1023477110042700000;RT @tempoweb: Terremoto in #Indonesia almeno 10 morti e 40 feriti https://t.co/ugDda5lKK4 https://t.co/uZMnDZ6l2M;not provided;Potenza, Basilicata, Italia, Europa, Terra, Sistema Solare, Ammasso Locale.;1532850933145;Earthquake;no
1023483214256640000;RT @zazoomblog: Terremoto in Indonesia: almeno 10 morti e 40 feriti -  #Terremoto #Indonesia: #almeno #morti  https://t.co/YaeMXMM9fm;not provided;Potenza, Basilicata, Italia, Europa, Terra, Sistema Solare, Ammasso Locale.;1532852388531;Earthquake;no
1023487267267140000;RT @zazoomnews: Terremoto Indonesia almeno 10 morti e 40 feriti. Scossa di magnitudo 6.4 con epicentro nellÛªisola di Lombok - #Terremoto #IÛ_;not provided;Potenza, Basilicata, Italia, Europa, Terra, Sistema Solare, Ammasso Locale.;1532853354872;Earthquake;no
1023490731443450000;RT @zazoomnews: Terremoto di magnituto 6.4 in Indonesia 10 morti -  #Terremoto #magnituto #Indonesia #morti https://t.co/v4dte6yHln;not provided;Potenza, Basilicata, Italia, Europa, Terra, Sistema Solare, Ammasso Locale.;1532854180811;Earthquake;no
1023496745743990000;RT @Agenzia_Ansa: #Indonesia #terremoto di magnitudo 6.4 nellisola di #Lombok provoca 10 morti e 40 feriti. Nessun danno a #Bali https://tÛ_;not provided;Potenza, Basilicata, Italia, Europa, Terra, Sistema Solare, Ammasso Locale.;1532855614657;Earthquake;no
1023500462882990000;RT @fattoquotidiano: In #Indonesia sale il bilancio delle vittime causate dal #terremoto [LEGGI];not provided;Potenza, Basilicata, Italia, Europa, Terra, Sistema Solare, Ammasso Locale.;1532856500895;Earthquake;no
1023503354662720000;RT @zazoomblog: Terremoto in Indonesia colpita la zona turistica di Lombok: almeno 13 mortiåÊ -  #Terremoto #Indonesia #colpita  https://t.cÛ_;not provided;Potenza, Basilicata, Italia, Europa, Terra, Sistema Solare, Ammasso Locale.;1532857190353;Earthquake;no
1023529260122820000;RT @vitocontesi: #Kaos il cane che ha salvato tante vite #terremoto avvelenato da chi viene definito umano.....;not provided;Potenza, Basilicata, Italia, Europa, Terra, Sistema Solare, Ammasso Locale.;1532863366705;Earthquake;no
1023908779480550000;RT @augustociardi: Questo Ì¬ Kaos, 3 anni, cane addestrato per salvare vite umane. 2 anni fa, ore successive il terremoto, individuÌ_ un uomoÛ_;not provided;Genova, Liguria, Italy;1532953851181;Earthquake;no
1024308239092120000;Ho caricato un nuovo episodio, 3 - Luongo- Terremoto Casamicciola Ischia, la scelta, il dibattito, la comunitÌÊ, sÛ_ https://t.co/oPYvYTKYrZ;not provided;Ischia, Italy;1533049089855;Earthquake;no
